"V1" "V2"
"b_0" 1.01069611280007 363
"b_juld" 1.00183043794882 1400
"b_temp" 1.00355755296536 766
"b_ftt" 1.00963435073432 629
"b_txf" 1.00178247977623 1381
"b_dis" 1.00083668549612 3192
"b_trans" 1.00063198839741 3642
"a_yr1" 1.00225195778483 1392
"a_yr2" 1.00030408047518 6997
"a_yr3" 1.00119542540538 2150
"a_yr4" 0.999961193900152 20000
"a_yr5" 1.00078312446937 5249
"a_yr6" 1.00394950845446 972
"a_yr7" 1.00301687658745 1311
"a_yr8" 1.00875797138044 487
"a_yr9" 1.00826830421617 447
"a_yr10" 1.01026658267329 420
"a_yr11" 1.00998885699884 399
"a_yr12" 1.0099295652428 474
"a_yr13" 1.00912743728779 378
"a_yr14" 1.00319750226578 919
"a_yr15" 1.00049901099092 7337
"sigma_yr" 1.0014142018365 2248
"mu_v" 1.00198893308281 1681
"sigma_v" 1.00073575706591 4969
"deviance" 1.00624863867328 879
