"V1" "V2"
"b_0" 1.00519631154013 519
"b_juld" 1.00088851943056 2816
"b_temp" 1.02277820200866 131
"b_temp2" 1.02266659318828 132
"b_dis" 1.00182821850247 1366
"b_trans" 0.999993955054213 40000
"a_yr1" 1.00064698250672 3721
"a_yr2" 1.00137129410275 1845
"a_yr3" 1.00118453577478 2160
"a_yr4" 1.00039885181348 6595
"a_yr5" 1.0002255679139 10553
"a_yr6" 1.0028692358466 909
"a_yr7" 1.00315461469499 786
"a_yr8" 1.004671568348 572
"a_yr9" 1.00346350591788 812
"a_yr10" 1.00402451680423 678
"a_yr11" 1.00515876335421 497
"a_yr12" 1.00424923696249 628
"a_yr13" 1.00448293472726 595
"a_yr14" 1.00214108362143 1185
"a_yr15" 1.00132290472099 1863
"p1" 1.00001312477338 40000
"phi2p3" 0.999977456089601 40000
"g_0" 1.00005876367163 26676
"g_1" 1.00013051033535 25561
"sigma_yr" 1.00063677747585 5280
"deviance" 1.00000820587449 40000
