"V1" "V2"
"b_0" 1.00398294361666 639
"b_run" 1.00005336578039 20000
"b_temp" 1.00161026312507 16720
"b_temp2" 1.00165417186269 15493
"b_ftt" 1.00367354413872 690
"b_dis" 1.00027517220117 8552
"b_trans" 1.00006646815544 20000
"a_yr1" 1.00139797830533 1751
"a_yr2" 1.00141968268155 1683
"a_yr3" 1.00049768167606 6408
"a_yr4" 1.00032550559619 6365
"a_yr5" 1.00048139843832 4629
"a_yr6" 1.00092192272273 2773
"a_yr7" 1.00149681766538 1577
"a_yr8" 1.00204919331475 1243
"a_yr9" 1.00102969182611 2332
"a_yr10" 1.00136784535955 1786
"a_yr11" 1.00051025590813 4804
"a_yr12" 1.00134703209439 1797
"a_yr13" 1.00132639580777 1844
"a_yr14" 1.00085061591137 2823
"a_yr15" 1.00043282312974 6702
"sigma_yr" 1.00015783453041 11153
"mu_v" 1.00101659511647 2492
"sigma_v" 1.00094058056631 2719
"t_obs" 1.00017798200984 13389
"t_rep" 1.0000028166602 20000
"deviance" 1.00657837114732 401
