"V1" "V2"
"b_0" 1.28750786017329 31
"b_run" 1.00593495894419 379
"b_temp" 1.27995505035945 14
"b_temp2" 1.2781440930549 14
"b_ftt" 1.16743353027148 20
"b_dis" 1.03455355599935 87
"b_trans" 1.01593374099711 155
"a_yr1" 1.23774394241846 35
"a_yr2" 1.22154706672123 47
"a_yr3" 1.19171108408038 42
"a_yr4" 1.17731314981778 55
"a_yr5" 1.17674931833542 44
"a_yr6" 1.22775702066733 39
"a_yr7" 1.21440927528833 38
"a_yr8" 1.25878001943757 39
"a_yr9" 1.20886407130117 51
"a_yr10" 1.2257795853388 43
"a_yr11" 1.18746105795874 47
"a_yr12" 1.2169081153708 38
"a_yr13" 1.24774241188804 34
"a_yr14" 1.2057682441809 43
"a_yr15" 1.11213601784614 78
"sigma_yr" 1.30698607192741 26
"mu_v" 1.02545971554681 104
"sigma_v" 1.0463463058254 59
"phi_fit" 1.00443350650675 542
"deviance" 1.16154977149527 20
